Year,HomeAway,EventCode,Date,Opponent,Location,W - L,Day,Time,Prior Year Wins,Conference,Rival,GTPriorYearWins,OppTwitterFollowers,MilesToATL,UndergradPop,GameMonth,FalconsHome,NatlChamp1980,NatlChampBinary,Tgiving_or_labor,NatlTV,Tvstation,GeorgiaBinary
2018,Home,2018F01,1-Sep,Alcorn State,,,Saturday,,7,FCS,No,5,1192,455,2825,Sept,No,0,0,LaborDay,,,No
2018,Away,,,,,,,,,,,5,,,,,,,,,,,No
2018,Away,,,,,,,,,,,5,,,,,,,,,,,No
2018,Home,2018F02,22-Sep,Clemson,,,Saturday,,12,ACC,Yes,5,910000,120,18599,Sept,,2,1,,,,No
2018,Home,2018F03,29-Sep,Bowling Green,,,Saturday,,2,Non-Power5,No,5,16500,639,14852,Sept,,0,0,,,,No
2018,Away,,,,,,,,,,,5,,,,,,,,,,,No
2018,Home,2018F04,13-Oct,Duke,,,Saturday,,7,ACC,No,5,37500,379,6609,Oct,,0,0,,,,No
2018,Away,,,,,,,,,,,5,,,,,,,,,,,No
2018,Away,,,,,,,,,,,5,,,,,,,,,,,No
2018,Home,2018F05,10-Nov,Miami,,,Saturday,,10,ACC,No,5,216000,671,10849,Nov,,5,1,,,,No
2018,Home,2018F06,17-Nov,Virginia,,,Saturday,,6,ACC,No,5,49500,505,16331,Nov,,0,0,,,,No
2018,Away,,,,,,,,,,,5,,,,,,,,,,,No
2017,Neutral,,"Monday, September 4, 2017",Tennessee,"Atlanta, Ga. (Mercedes-Benz Stadium)","L, 42-41 (2OT)",,,,,,9,,,,,,,,,,,No
2017,Home,2017F01,"Saturday, September 9, 2017",Jacksonville State,"Atlanta, Ga.","W, 37-10",Saturday,Noon,10,FCS,No,9,1944,97,7561,Sept,No,0,0,,,,No
2017,Away,,"Saturday, September 16, 2017",at UCF,"Orlando, Fla.",Cancelled,,,,,,9,,,,,,,,,,,No
2017,Home,2017F02,"Saturday, September 23, 2017",Pittsburgh,"Atlanta, Ga.","W, 35-17",Saturday,Noon,8,ACC,No,9,67600,684,19123,Sept,No,0,0,,,,No
2017,Home,2017F03,"Saturday, September 30, 2017",North Carolina,"Atlanta, Ga.","W, 33-7",Saturday,Noon,8,ACC,No,9,149000,378,18523,Sept,No,0,0,,Yes,ESPN2,No
2017,Away,,"Saturday, October 14, 2017",at Miami,"Miami Gardens, Fla.","L, 25-24",,,,,,9,,,,,,,,,,,No
2017,Home,2017F04,"Saturday, October 21, 2017",Wake Forest,"Atlanta, Ga.","W, 38-24",Saturday,Night,7,ACC,No,9,31500,317,4955,Oct,No,0,0,,,,No
2017,Away,,"Saturday, October 28, 2017",at Clemson,"Clemson, S.C.","L, 24-10",,,,,,9,,,,,,,,,,,No
2017,Away,,"Saturday, November 4, 2017",at Virginia,"Charlottesville, Va.","L, 40-36",,,,,,9,,,,,,,,,,,No
2017,Home,2017F05,"Saturday, November 11, 2017",Virginia Tech,"Atlanta, Ga.","W, 28-22",Saturday,Noon,10,ACC,No,9,64500,405,25791,Nov,Yes,0,0,,,,No
2017,Away,,"Saturday, November 18, 2017",at Duke,"Durham, N.C.","L, 43-20",,,,,,9,,,,,,,,,,,No
2017,Home,2017F06,"Saturday, November 25, 2017",Georgia,"Atlanta, Ga.","L, 38-7",Saturday,Noon,8,Power5,Yes,9,868000,69,27951,Nov,Yes,1,1,Thanksgiving,Yes,ABC,Yes
2016,Away,,"Saturday, September 3, 2016",Boston College,"Dublin, Ireland","W, 17-14",,,,,,3,,,,,,,,,,,No
2016,Home,2016F01,"Saturday, September 10, 2016",Mercer,"Atlanta, Ga.","W, 35-10",Saturday,Afternoon,5,FCS,No,3,14000,34,4706,Sept,Yes,0,0,,,,No
