Opponent,id,Day,Time,prediction,lower_bound,upper_bound
Alcorn State,128,Saturday,Noon,21.29325476,11.34685129,39.95845957
Alcorn State,123,Saturday,Noon,20.3345664,10.82243949,38.20715202
Alcorn State,111,Saturday,Noon,14.8668091,7.922783725,27.89701456
Alcorn State,228,Saturday,Noon,10.02184945,5.339002471,18.81202846
Alcorn State,109,Saturday,Noon,25.44373178,13.52166519,47.8774972
Alcorn State,217,Saturday,Noon,8.968437636,4.775968654,16.84116447
Alcorn State,CL2,Saturday,Noon,57.88289865,30.76432969,108.9063207
Alcorn State,108,Saturday,Noon,33.27657008,17.70880546,62.52991592
Alcorn State,129,Saturday,Noon,17.5451967,9.349804198,32.92410417
Alcorn State,211,Saturday,Noon,8.378610522,4.451498141,15.77022208
Alcorn State,127,Saturday,Noon,30.38741923,16.1788019,57.07438989
Alcorn State,122,Saturday,Noon,16.84627109,8.950751578,31.70648265
Alcorn State,210,Saturday,Noon,8.25973239,4.400703934,15.50278778
Alcorn State,216,Saturday,Noon,8.386503004,4.459330492,15.77219557
Alcorn State,215,Saturday,Noon,9.961479878,5.300307746,18.72175846
Alcorn State,121,Saturday,Noon,14.89830839,7.927690351,27.99801495
Alcorn State,213,Saturday,Noon,8.508237213,4.530328856,15.97899463
Alcorn State,212,Saturday,Noon,8.747026534,4.654718048,16.43718747
Alcorn State,101,Saturday,Noon,11.48533761,6.116359139,21.56723911
Alcorn State,103,Saturday,Noon,21.29251802,11.32830051,40.02112436
Alcorn State,226L,Saturday,Noon,17.54441444,9.293195967,33.12170315
Alcorn State,CL3,Saturday,Noon,56.24751356,29.81696458,106.1068028
Alcorn State,132,Saturday,Noon,16.15888189,8.594666813,30.3804056
Alcorn State,124,Saturday,Noon,30.72274437,16.24341447,58.10890459
Alcorn State,202,Saturday,Noon,11.96131134,6.345107424,22.54854952
Alcorn State,105,Saturday,Noon,36.56047789,19.45447391,68.70751424
Alcorn State,219,Saturday,Noon,6.276815549,3.334081009,11.81687348
Alcorn State,227,Saturday,Noon,16.48333816,8.712717033,31.18435224
Alcorn State,221,Saturday,Noon,11.29480991,5.992128825,21.29005143
Alcorn State,102,Saturday,Noon,19.83344238,10.55709056,37.26078072
Alcorn State,222,Saturday,Noon,12.61239536,6.702131888,23.73461451
Alcorn State,104,Saturday,Noon,32.06775035,17.04532813,60.32976335
Alcorn State,CL1,Saturday,Noon,48.15545557,25.50419358,90.92418052
