	Opponent	Section	Day	Time	prediction	lower_bound	upper_bound
1	Alcorn State	128	Saturday	Noon	21.293254762741	11.3468512870812	39.9584595690618
2	Alcorn State	123	Saturday	Noon	20.334566401837	10.8224394890674	38.2071520167353
3	Alcorn State	111	Saturday	Noon	14.8668091042577	7.92278372485701	27.897014561814
4	Alcorn State	228	Saturday	Noon	10.0218494511508	5.33900247093609	18.8120284581778
5	Alcorn State	109	Saturday	Noon	25.4437317822992	13.5216651857548	47.8774971955088
6	Alcorn State	217	Saturday	Noon	8.96843763563122	4.7759686542205	16.8411644731228
7	Alcorn State	CL2	Saturday	Noon	57.8828986524827	30.7643296871942	108.90632074484
8	Alcorn State	108	Saturday	Noon	33.2765700805643	17.7088054582185	62.5299159189083
9	Alcorn State	129	Saturday	Noon	17.5451967029909	9.349804197942	32.9241041662029
10	Alcorn State	211	Saturday	Noon	8.37861052178397	4.45149814142158	15.7702220792864
11	Alcorn State	127	Saturday	Noon	30.3874192298552	16.1788018984258	57.0743898867334
12	Alcorn State	122	Saturday	Noon	16.8462710898411	8.95075157787743	31.7064826526797
13	Alcorn State	210	Saturday	Noon	8.25973239033684	4.40070393375929	15.5027877782498
14	Alcorn State	216	Saturday	Noon	8.38650300400595	4.45933049238112	15.7721955697985
15	Alcorn State	215	Saturday	Noon	9.96147987835014	5.30030774605036	18.7217584565196
16	Alcorn State	121	Saturday	Noon	14.8983083922049	7.92769035129368	27.9980149468153
17	Alcorn State	213	Saturday	Noon	8.50823721295687	4.53032885585032	15.978994632688
18	Alcorn State	212	Saturday	Noon	8.74702653389115	4.65471804792864	16.4371874723203
19	Alcorn State	101	Saturday	Noon	11.485337610747	6.11635913887032	21.567239110358
20	Alcorn State	103	Saturday	Noon	21.2925180171521	11.3283005107404	40.0211243584954
21	Alcorn State	226L	Saturday	Noon	17.544414443318	9.29319596677511	33.1217031535084
22	Alcorn State	CL3	Saturday	Noon	56.2475135635506	29.8169645824353	106.106802834838
23	Alcorn State	132	Saturday	Noon	16.1588818851065	8.59466681296218	30.3804056002528
24	Alcorn State	124	Saturday	Noon	30.7227443698114	16.2434144701384	58.1089045870254
25	Alcorn State	202	Saturday	Noon	11.9613113389075	6.34510742384397	22.548549518426
26	Alcorn State	105	Saturday	Noon	36.5604778900415	19.4544739142005	68.707514242908
27	Alcorn State	219	Saturday	Noon	6.27681554946416	3.33408100906047	11.816873475758
28	Alcorn State	227	Saturday	Noon	16.4833381619527	8.71271703348897	31.1843522424696
29	Alcorn State	221	Saturday	Noon	11.2948099077086	5.99212882542346	21.2900514271333
30	Alcorn State	102	Saturday	Noon	19.83344237671	10.5570905625704	37.2607807216251
31	Alcorn State	222	Saturday	Noon	12.6123953615026	6.70213188805995	23.7346145094885
32	Alcorn State	104	Saturday	Noon	32.0677503491723	17.0453281320532	60.3297633515822
33	Alcorn State	CL1	Saturday	Noon	48.1554555671676	25.5041935788943	90.9241805159629
34	Alcorn State	214	Saturday	Noon	9.63920058148329	5.1294699748084	18.1137989512334
35	Alcorn State	107	Saturday	Noon	41.5214051345607	22.092017368613	78.0384631961097
36	Alcorn State	223	Saturday	Noon	19.9892684949477	10.5540677442322	37.859417302061
37	Alcorn State	201	Saturday	Noon	10.7080105254105	5.65442103696281	20.2782015457927
38	Alcorn State	CL4	Saturday	Noon	40.3648924375614	21.3843530210149	76.1923701827559
39	Alcorn State	207	Saturday	Noon	14.9308469483575	7.91468275171102	28.1666615818659
40	Alcorn State	206U	Saturday	Noon	13.5927781185271	7.03843724421116	26.2506591404889
41	Alcorn State	225	Saturday	Noon	20.4962038465831	10.8151891721356	38.8429980682193
42	Alcorn State	106	Saturday	Noon	44.706940125058	23.6750795069857	84.4225462793389
43	Alcorn State	224L	Saturday	Noon	20.6396695677645	10.9711811647691	38.8286323476701
44	Alcorn State	218	Saturday	Noon	13.6817164734018	7.2472829781375	25.8289025312299
45	Alcorn State	204U	Saturday	Noon	12.0428232786668	6.38842906524616	22.7019179582314
46	Alcorn State	208	Saturday	Noon	10.0289611464644	5.27605803838289	19.0634865927517
47	Alcorn State	224U	Saturday	Noon	10.0170829027027	5.31205457448927	18.8894802326587
48	Alcorn State	206L	Saturday	Noon	17.9192662167039	9.35344591961312	34.3296047793246
49	Alcorn State	130	Saturday	Noon	24.6187160502499	11.4278442160831	53.0354779521635
50	Alcorn State	229	Saturday	Noon	23.1664304125526	12.1436111248426	44.1947203794864
51	Alcorn State	203L	Saturday	Noon	15.9514522832784	8.34710227941926	30.4834925256732
52	Alcorn State	203U	Saturday	Noon	12.9748751741425	6.69311656505084	25.1523164356098
53	Alcorn State	204L	Saturday	Noon	22.4184335478875	11.4560399300468	43.8708459301778
54	Alcorn State	226U	Saturday	Noon	11.1839422351798	5.9112340515625	21.1598056901122
55	Alcorn State	110	Saturday	Noon	14.8298018283579	7.67398429229546	28.6582580693011
56	Alcorn State	131	Saturday	Noon	11.9728402229076	6.35483851165457	22.557442292259
57	Alcorn State	205U	Saturday	Noon	12.2460387124299	6.47464185845971	23.1619705652737
58	Alcorn State	205L	Saturday	Noon	19.4915699091757	10.053703132442	37.7891899650713
59	Alcorn State	TT3	Saturday	Noon	38.5364342374435	17.883820425488	83.0391229840523
60	Alcorn State	TT1	Saturday	Noon	114.987244431556	47.3881478420741	279.016314923857
61	Alcorn State	128	Saturday	Afternoon	25.4112668752118	13.5377750098119	47.6985681720387
62	Alcorn State	123	Saturday	Afternoon	24.2671728388356	12.9121129959582	45.6080021739477
63	Alcorn State	111	Saturday	Afternoon	17.7419778207026	9.45256601092189	33.3007753266779
64	Alcorn State	228	Saturday	Afternoon	11.9600264883885	6.36989246377712	22.4559887653325
65	Alcorn State	109	Saturday	Afternoon	30.3644260037062	16.1325340850281	57.1514903780812
66	Alcorn State	217	Saturday	Afternoon	10.702889941067	5.69814524679481	20.1033578698313
67	Alcorn State	CL2	Saturday	Afternoon	69.0771702850625	36.7045454984049	130.001758359844
68	Alcorn State	108	Saturday	Afternoon	39.7120972078229	21.1281482189934	74.6421621193412
69	Alcorn State	129	Saturday	Afternoon	20.9383525799884	11.155124986017	39.301631251417
70	Alcorn State	211	Saturday	Afternoon	9.99899312645537	5.31102880171167	18.8249522410196
71	Alcorn State	127	Saturday	Afternoon	36.2641986066856	19.3027169617468	68.1298960758387
72	Alcorn State	122	Saturday	Afternoon	20.1042581458792	10.6790336551979	37.8481057974212
73	Alcorn State	210	Saturday	Afternoon	9.85712454142742	5.25042080645687	18.5057365508155
74	Alcorn State	216	Saturday	Afternoon	10.0084119764285	5.32037171559862	18.8273142638207
